// 现代汉语语料库词语频率表,,,,
// 语料规模:2000万字,,,,
// 只列入出现次数大于50次的词,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,
// id,词语,出现次数,频率（%）,累积频率（%）
181,形成,5853,0.0612,39.739
182,对于,5846,0.0612,39.8002
183,日,5809,0.0608,39.861
184,事,5775,0.0604,39.9214
185,时间,5761,0.0603,39.9817
186,认为,5720,0.0599,40.0416
187,还是,5720,0.0599,40.1015
188,真,5709,0.0597,40.1612
189,长,5702,0.0597,40.2209
190,世界,5697,0.0596,40.2805
191,只有,5668,0.0593,40.3398
192,以后,5651,0.0591,40.3989
193,教育,5648,0.0591,40.458
194,它们,5634,0.059,40.517
195,同时,5626,0.0589,40.5759
196,性,5575,0.0583,40.6342
197,表现,5572,0.0583,40.6925
198,产生,5563,0.0582,40.7507
199,出现,5544,0.058,40.8087
200,企业,5489,0.0574,40.8661
201,社会主义,5480,0.0573,40.9234
202,作,5480,0.0573,40.9807
203,者,5475,0.0573,41.038
204,没,5449,0.057,41.095
205,各种,5419,0.0567,41.1517
206,之间,5380,0.0563,41.208
207,家,5361,0.0561,41.2641
208,组织,5334,0.0558,41.3199
209,前,5333,0.0558,41.3757
210,水,5318,0.0556,41.4313
211,一样,5278,0.0552,41.4865
212,成为,5251,0.0549,41.5414
213,可能,5233,0.0548,41.5962
214,根据,5186,0.0543,41.6505
215,开始,5138,0.0538,41.7043
216,吃,5137,0.0538,41.7581
217,还有,5102,0.0534,41.8115
218,话,5084,0.0532,41.8647
219,存在,5081,0.0532,41.9179
220,地方,5081,0.0532,41.9711
221,变化,5077,0.0531,42.0242
222,可是,5032,0.0527,42.0769
223,革命,5021,0.0525,42.1294
224,作为,5001,0.0523,42.1817
225,这里,4974,0.0521,42.2338
226,提高,4955,0.0519,42.2857
227,五,4944,0.0517,42.3374
228,同志,4928,0.0516,42.389
229,跟,4901,0.0513,42.4403
230,以及,4886,0.0511,42.4914
231,见,4823,0.0505,42.5419
232,发现,4821,0.0504,42.5923
233,及,4811,0.0503,42.6426
234,一切,4810,0.0503,42.6929
235,运动,4804,0.0503,42.7432
236,呀,4775,0.05,42.7932
237,每,4748,0.0497,42.8429
238,听,4625,0.0484,42.8913
239,历史,4620,0.0483,42.9396
240,地区,4594,0.0481,42.9877
241,第一,4593,0.0481,43.0358
242,物质,4549,0.0476,43.0834
243,问,4505,0.0471,43.1305
244,外,4489,0.047,43.1775
245,你们,4484,0.0469,43.2244
246,位,4478,0.0469,43.2713
247,正,4446,0.0465,43.3178
248,形式,4433,0.0464,43.3642
249,打,4413,0.0462,43.4104
250,认识,4395,0.046,43.4564
251,那么,4395,0.046,43.5024
252,例如,4389,0.0459,43.5483
253,学生,4377,0.0458,43.5941
254,政治,4375,0.0458,43.6399
