// 现代汉语语料库词语频率表,,,,
// 语料规模:2000万字,,,,
// 只列入出现次数大于50次的词,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,
// id,词语,出现次数,频率（%）,累积频率（%）
3701,广西,291,0.003,77.2707000000004
3702,家属,291,0.003,77.2497000000004
3703,法规,291,0.003,77.2377000000004
3704,不时,291,0.003,77.2227000000004
3705,实物,291,0.003,77.2257000000004
3706,小孩子,291,0.003,77.2287000000004
3707,高于,291,0.003,77.2317000000004
3708,战线,291,0.003,77.2347000000004
3709,症,291,0.003,77.2467000000004
3710,开拓,291,0.003,77.2407000000004
3711,广播,290,0.003,77.2827000000004
3712,肾,290,0.003,77.2917000000004
3713,创新,290,0.003,77.2857000000004
3714,袁世凯,290,0.003,77.2947000000004
3715,某个,290,0.003,77.2737000000004
3716,无力,290,0.003,77.2767000000004
3717,老板,290,0.003,77.2887000000004
3718,解放军,290,0.003,77.2797000000004
3719,自发,289,0.003,77.3127000000004
3720,沉,289,0.003,77.3157000000004
3721,椅子,289,0.003,77.3097000000004
3722,绝大多数,289,0.003,77.3187000000004
3723,伸手,289,0.003,77.3067000000004
3724,渠道,289,0.003,77.3037000000004
3725,议会,289,0.003,77.2977000000004
3726,树上,289,0.003,77.3007000000004
3727,塑料,288,0.003,77.3277000000004
3728,口袋,288,0.003,77.3367000000004
3729,生活方式,288,0.003,77.3337000000004
3730,高山,288,0.003,77.3217000000004
3731,电子计算机,288,0.003,77.3307000000004
3732,墙上,288,0.003,77.3397000000004
3733,公理,288,0.003,77.3247000000004
3734,厂里,287,0.003,77.3667000000004
3735,台上,287,0.003,77.3637000000004
3736,继,287,0.003,77.3607000000004
3737,气味,287,0.003,77.3577000000004
3738,寿命,287,0.003,77.3727000000004
3739,盆,287,0.003,77.3427000000004
3740,工业品,287,0.003,77.3547000000004
3741,线圈,287,0.003,77.3517000000004
3742,境内,287,0.003,77.3487000000004
3743,暖,287,0.003,77.3457000000004
3744,甜,287,0.003,77.3697000000004
3745,单一,286,0.003,77.4057000000004
3746,士兵,286,0.003,77.4027000000004
3747,有害,286,0.003,77.3997000000004
3748,两侧,286,0.003,77.3967000000004
3749,拖拉机,286,0.003,77.3937000000004
3750,美学,286,0.003,77.4087000000004
3751,许,286,0.003,77.3907000000004
3752,整齐,286,0.003,77.3877000000004
3753,左手,286,0.003,77.3847000000004
3754,年轻人,286,0.003,77.3757000000004
3755,阿姨,286,0.003,77.3817000000004
3756,侵犯,286,0.003,77.4117000000004
3757,含义,286,0.003,77.3787000000004
3758,江,285,0.003,77.4387000000004
3759,重庆,285,0.003,77.4357000000004
3760,纪念,285,0.003,77.4147000000004
3761,履行,285,0.003,77.4327000000004
3762,自治区,285,0.003,77.4417000000004
3763,法则,285,0.003,77.4297000000004
3764,饲养,285,0.003,77.4267000000004
3765,出门,285,0.003,77.4237000000004
3766,吸取,285,0.003,77.4207000000004
3767,每当,285,0.003,77.4177000000004
3768,嫌,284,0.003,77.4627000000004
3769,新疆,284,0.003,77.4657000000004
3770,贵,284,0.003,77.4597000000004
3771,闭,284,0.003,77.4567000000004
3772,动摇,284,0.003,77.4447000000004
3773,女士,284,0.003,77.4537000000004
3774,老是,284,0.003,77.4477000000004
3775,社会制度,284,0.003,77.4507000000004
3776,宿舍,284,0.003,77.4687000000004
3777,这天,283,0.003,77.4777000000004
3778,冷却,283,0.003,77.4747000000004
3779,菌,283,0.003,77.4717000000004
3780,用力,283,0.003,77.4807000000004
3781,胃,282,0.003,77.5167000000004
3782,束,282,0.003,77.5137000000004
3783,噢,282,0.003,77.4837000000004
3784,国防,282,0.003,77.5107000000004
3785,改良,282,0.003,77.5197000000004
3786,身后,282,0.003,77.5077000000004
3787,汤,282,0.003,77.5047000000004
3788,抵抗,282,0.003,77.4867000000004
3789,料,282,0.003,77.5017000000004
3790,当局,282,0.003,77.4987000000004
3791,协议,282,0.003,77.4957000000004
3792,踏,282,0.003,77.4927000000004
3793,纯粹,282,0.003,77.4897000000004
3794,新型,281,0.0029,77.5400000000004
3795,机体,281,0.0029,77.5371000000004
3796,波长,281,0.0029,77.5313000000004
3797,机器人,281,0.0029,77.5429000000004
3798,好多,281,0.0029,77.5226000000004
3799,场合,281,0.0029,77.5255000000004
3800,县委,281,0.0029,77.5284000000004
3801,出身,281,0.0029,77.5342000000004
3802,脚下,280,0.0029,77.5690000000003
3803,蛇,280,0.0029,77.5661000000003
3804,就业,280,0.0029,77.5632000000003
3805,黄金,280,0.0029,77.5603000000003
3806,谢谢,280,0.0029,77.5458000000004
3807,刻,280,0.0029,77.5574000000003
3808,逃,280,0.0029,77.5719000000003
3809,家中,280,0.0029,77.5545000000003
3810,幼,280,0.0029,77.5516000000003
3811,虎,280,0.0029,77.5487000000004
3812,实力,279,0.0029,77.5748000000003
3813,安静,279,0.0029,77.6009000000003
3814,剧烈,279,0.0029,77.6038000000003
3815,胡子,279,0.0029,77.5980000000003
3816,派人,279,0.0029,77.5951000000003
3817,理智,279,0.0029,77.5922000000003
3818,爱好,279,0.0029,77.5777000000003
3819,登,279,0.0029,77.5893000000003
3820,妨碍,279,0.0029,77.5864000000003
3821,偷偷,279,0.0029,77.5806000000003
3822,杂志,279,0.0029,77.5835000000003
3823,半径,278,0.0029,77.6386000000003
3824,整天,278,0.0029,77.6357000000003
3825,水库,278,0.0029,77.6328000000003
3826,陆,278,0.0029,77.6299000000003
3827,寂寞,278,0.0029,77.6270000000003
3828,身旁,278,0.0029,77.6241000000003
3829,收拾,278,0.0029,77.6415000000002
3830,神情,278,0.0029,77.6067000000003
3831,语义,278,0.0029,77.6212000000003
3832,寒,278,0.0029,77.6444000000002
3833,划,278,0.0029,77.6154000000003
3834,灵,278,0.0029,77.6125000000003
3835,集合,278,0.0029,77.6096000000003
3836,信任,278,0.0029,77.6183000000003
3837,当事人,277,0.0029,77.6647000000002
3838,透过,277,0.0029,77.6618000000002
3839,可达,277,0.0029,77.6589000000002
3840,赞成,277,0.0029,77.6473000000002
3841,青蛙,277,0.0029,77.6560000000002
3842,沉思,277,0.0029,77.6676000000002
3843,争夺,277,0.0029,77.6531000000002
3844,日常,277,0.0029,77.6502000000002
3845,设法,276,0.0029,77.7111000000002
3846,振,276,0.0029,77.7082000000002
3847,工农,276,0.0029,77.7053000000002
3848,欢乐,276,0.0029,77.7024000000002
3849,番,276,0.0029,77.6995000000002
3850,埋,276,0.0029,77.6966000000002
3851,染色体,276,0.0029,77.6937000000002
3852,十月,276,0.0029,77.7169000000002
3853,扎,276,0.0029,77.6734000000002
3854,出席,276,0.0029,77.6908000000002
3855,强迫,276,0.0029,77.6879000000002
3856,演变,276,0.0029,77.6850000000002
3857,艰难,276,0.0029,77.6821000000002
3858,世纪末,276,0.0029,77.6705000000002
3859,一辈子,276,0.0029,77.6763000000002
3860,欲望,276,0.0029,77.7140000000002
3861,有益,276,0.0029,77.6792000000002
3862,不太,275,0.0029,77.7633000000001
3863,储存,275,0.0029,77.7604000000001
3864,淡,275,0.0029,77.7575000000001
3865,弹,275,0.0029,77.7546000000001
3866,推进,275,0.0029,77.7517000000001
3867,数值,275,0.0029,77.7488000000001
3868,意识到,275,0.0029,77.7459000000001
3869,文献,275,0.0029,77.7662000000001
3870,顺着,275,0.0029,77.7401000000001
3871,专政,275,0.0029,77.7227000000002
3872,决,275,0.0029,77.7691000000001
3873,审判,275,0.0029,77.7256000000002
3874,海军,275,0.0029,77.7285000000002
3875,编辑,275,0.0029,77.7314000000002
3876,全民所有制,275,0.0029,77.7343000000001
3877,树枝,275,0.0029,77.7430000000001
3878,英语,275,0.0029,77.7372000000001
3879,学派,275,0.0029,77.7198000000002
3880,布局,274,0.0029,77.8010000000001
3881,景象,274,0.0029,77.8242
3882,模仿,274,0.0029,77.8213000000001
3883,被动,274,0.0029,77.8184000000001
3884,野,274,0.0029,77.8155000000001
3885,所得,274,0.0029,77.8126000000001
3886,残酷,274,0.0029,77.8097000000001
3887,夫妇,274,0.0029,77.7952000000001
3888,叫人,274,0.0029,77.8039000000001
3889,乃至,274,0.0029,77.8068000000001
3890,武汉,274,0.0029,77.8271
3891,向着,274,0.0029,77.7720000000001
3892,毒,274,0.0029,77.7749000000001
3893,磷,274,0.0029,77.7778000000001
3894,骨干,274,0.0029,77.7807000000001
3895,付,274,0.0029,77.7836000000001
3896,投,274,0.0029,77.7865000000001
3897,沙发,274,0.0029,77.7894000000001
3898,青年人,274,0.0029,77.7923000000001
3899,思想上,274,0.0029,77.7981000000001
3900,古典,273,0.0029,77.8474
3901,国内外,273,0.0029,77.83
3902,披,273,0.0029,77.8445
3903,排出,273,0.0029,77.8503
3904,潜力,273,0.0029,77.8416
3905,腹,273,0.0029,77.8387
3906,恋爱,273,0.0029,77.8358
3907,市长,273,0.0029,77.8329
3908,学院,272,0.0028,77.8755
3909,外交,272,0.0028,77.8810999999999
3910,提前,272,0.0028,77.8783
3911,假定,272,0.0028,77.8727
3912,曲折,272,0.0028,77.8699
3913,二十四,272,0.0028,77.8838999999999
3914,老太太,272,0.0028,77.8531
3915,体力,272,0.0028,77.8671
3916,西班牙,272,0.0028,77.8643
3917,富裕,272,0.0028,77.8559
3918,认,272,0.0028,77.8615
3919,申请,272,0.0028,77.8866999999999
3920,竞赛,272,0.0028,77.8587
3921,挣扎,271,0.0028,77.9426999999998
3922,缺陷,271,0.0028,77.9398999999998
3923,电报,271,0.0028,77.9370999999998
3924,拥护,271,0.0028,77.9342999999998
3925,宝贵,271,0.0028,77.9314999999998
3926,有权,271,0.0028,77.9286999999998
3927,室内,271,0.0028,77.9258999999998
3928,逆,271,0.0028,77.9230999999998
3929,主力,271,0.0028,77.9090999999999
3930,吊,271,0.0028,77.9202999999999
3931,用不着,271,0.0028,77.9454999999998
3932,进而,271,0.0028,77.8922999999999
3933,工夫,271,0.0028,77.8950999999999
3934,熟练,271,0.0028,77.8978999999999
3935,事务,271,0.0028,77.9006999999999
3936,总额,271,0.0028,77.9034999999999
3937,被迫,271,0.0028,77.9174999999999
3938,云南,271,0.0028,77.9062999999999
3939,五月,271,0.0028,77.8894999999999
3940,赴,271,0.0028,77.9118999999999
3941,年底,271,0.0028,77.9146999999999
3942,大哥,270,0.0028,77.9622999999998
3943,扯,270,0.0028,77.9734999999997
3944,业余,270,0.0028,77.9706999999997
3945,友好,270,0.0028,77.9650999999998
3946,批发,270,0.0028,77.9678999999997
3947,弹性,270,0.0028,77.9482999999998
3948,领导人,270,0.0028,77.9510999999998
3949,国民收入,270,0.0028,77.9594999999998
3950,何况,270,0.0028,77.9762999999997
3951,临,270,0.0028,77.9566999999998
3952,旅行,270,0.0028,77.9538999999998
3953,牙齿,269,0.0028,78.0098999999996
3954,距,269,0.0028,78.0070999999997
3955,杂,269,0.0028,78.0042999999997
3956,开花,269,0.0028,78.0014999999997
3957,夜间,269,0.0028,77.9986999999997
3958,挨,269,0.0028,77.9958999999997
3959,解除,269,0.0028,77.9790999999997
3960,即将,269,0.0028,77.9930999999997
3961,施工,269,0.0028,78.0126999999996
3962,削弱,269,0.0028,77.9902999999997
3963,陆续,269,0.0028,77.9874999999997
3964,匆匆,269,0.0028,77.9846999999997
3965,感知,269,0.0028,77.9818999999997
3966,社会生产力,268,0.0028,78.0518999999995
3967,扩展,268,0.0028,78.0490999999996
3968,乐曲,268,0.0028,78.0462999999996
3969,钠,268,0.0028,78.0434999999996
3970,笑容,268,0.0028,78.0406999999996
3971,陪,268,0.0028,78.0378999999996
3972,扇,268,0.0028,78.0350999999996
3973,江南,268,0.0028,78.0574999999995
3974,放到,268,0.0028,78.0182999999996
3975,减弱,268,0.0028,78.0322999999996
3976,毫升,268,0.0028,78.0154999999996
3977,阐述,268,0.0028,78.0266999999996
3978,忍不住,268,0.0028,78.0546999999995
3979,背着,268,0.0028,78.0238999999996
3980,剩,268,0.0028,78.0210999999996
3981,现场,268,0.0028,78.0294999999996
3982,本能,267,0.0028,78.0826999999995
3983,经费,267,0.0028,78.0798999999995
3984,农,267,0.0028,78.0770999999995
3985,商,267,0.0028,78.0742999999995
3986,珍贵,267,0.0028,78.0882999999995
3987,车子,267,0.0028,78.0714999999995
3988,随意,267,0.0028,78.0686999999995
3989,柱,267,0.0028,78.0602999999995
3990,停留,267,0.0028,78.0658999999995
3991,功夫,267,0.0028,78.0854999999995
3992,当中,267,0.0028,78.0630999999995
3993,胡,266,0.0028,78.1106999999994
3994,特权,266,0.0028,78.1078999999994
3995,割,266,0.0028,78.1050999999994
3996,上层建筑,266,0.0028,78.0910999999995
3997,近似,266,0.0028,78.1022999999994
3998,民众,266,0.0028,78.1134999999994
3999,阿,266,0.0028,78.0994999999994
4000,北平,266,0.0028,78.0966999999994
4001,维生素,266,0.0028,78.0938999999995
4002,风俗,265,0.0028,78.1190999999994
4003,山坡,265,0.0028,78.1414999999993
4004,筒,265,0.0028,78.1442999999993
4005,严,265,0.0028,78.1386999999993
4006,嫂,265,0.0028,78.1358999999994
4007,华北,265,0.0028,78.1330999999994
4008,八月,265,0.0028,78.1470999999993
4009,城镇,265,0.0028,78.1162999999994
4010,拨,265,0.0028,78.1302999999994
4011,指定,265,0.0028,78.1274999999994
4012,遇,265,0.0028,78.1218999999994
4013,协助,265,0.0028,78.1246999999994
4014,初中,264,0.0028,78.1750999999993
4015,根本上,264,0.0028,78.1694999999993
4016,畜,264,0.0028,78.1806999999992
4017,微观,264,0.0028,78.1834999999992
4018,毫米,264,0.0028,78.1862999999992
4019,普及,264,0.0028,78.1890999999992
4020,父,264,0.0028,78.1778999999993
4021,著,264,0.0028,78.1666999999993
4022,搬,264,0.0028,78.1498999999993
4023,敏感,264,0.0028,78.1638999999993
4024,造型,264,0.0028,78.1722999999993
4025,模范,264,0.0028,78.1610999999993
4026,送来,264,0.0028,78.1582999999993
4027,告,264,0.0028,78.1554999999993
4028,晒,264,0.0028,78.1526999999993
4029,没人,263,0.0028,78.2198999999992
4030,如果说,263,0.0028,78.2338999999991
4031,毛泽东思想,263,0.0028,78.2310999999991
4032,舌,263,0.0028,78.2282999999991
4033,沙,263,0.0028,78.2254999999991
4034,力气,263,0.0028,78.2226999999992
4035,导线,263,0.0028,78.1946999999992
4036,超越,263,0.0028,78.2170999999992
4037,特,263,0.0028,78.2366999999991
4038,寻,263,0.0028,78.1918999999992
4039,纲,263,0.0028,78.2114999999992
4040,握,263,0.0028,78.2086999999992
4041,处处,263,0.0028,78.2058999999992
4042,日常生活,263,0.0028,78.2030999999992
4043,各种各样,263,0.0028,78.2002999999992
4044,加速度,263,0.0028,78.1974999999992
4045,仅仅是,263,0.0028,78.2142999999992
4046,新中国,262,0.0027,78.2663999999992
4047,市委,262,0.0027,78.2636999999992
4048,不止,262,0.0027,78.2609999999992
4049,显微镜,262,0.0027,78.2582999999992
4050,推理,262,0.0027,78.2393999999991
4051,全都,262,0.0027,78.2555999999991
4052,壳,262,0.0027,78.2690999999992
4053,缝,262,0.0027,78.2528999999991
4054,装饰,262,0.0027,78.2501999999991
4055,律,262,0.0027,78.2474999999991
4056,沉淀,262,0.0027,78.2447999999991
4057,生态,262,0.0027,78.2420999999991
4058,还原,261,0.0027,78.3014999999992
4059,防,261,0.0027,78.2987999999992
4060,壮,261,0.0027,78.2960999999992
4061,再现,261,0.0027,78.2825999999992
4062,司机,261,0.0027,78.2933999999992
4063,滑,261,0.0027,78.3041999999992
4064,输入,261,0.0027,78.2906999999992
4065,走路,261,0.0027,78.3068999999992
4066,登上,261,0.0027,78.2717999999992
4067,有机物,261,0.0027,78.2852999999992
4068,代谢,261,0.0027,78.2798999999992
4069,减,261,0.0027,78.2771999999992
4070,殖民地,261,0.0027,78.2744999999992
4071,硅,261,0.0027,78.2879999999992
4072,违背,260,0.0027,78.3473999999993
4073,猴子,260,0.0027,78.3446999999993
4074,眼看,260,0.0027,78.3419999999993
4075,一手,260,0.0027,78.3392999999993
4076,表面上,260,0.0027,78.3365999999993
4077,例外,260,0.0027,78.3338999999993
4078,婆婆,260,0.0027,78.3095999999992
4079,征服,260,0.0027,78.3311999999993
4080,恰当,260,0.0027,78.3500999999993
4081,培育,260,0.0027,78.3284999999993
4082,模样,260,0.0027,78.3257999999993
4083,月球,260,0.0027,78.3230999999993
4084,传达,260,0.0027,78.3203999999993
4085,客,260,0.0027,78.3176999999992
4086,举起,260,0.0027,78.3149999999992
4087,湖,260,0.0027,78.3122999999992
4088,简,259,0.0027,78.3743999999993
4089,减小,259,0.0027,78.3716999999993
4090,发言,259,0.0027,78.3554999999993
4091,火焰,259,0.0027,78.3689999999993
4092,原是,259,0.0027,78.3770999999993
4093,顽强,259,0.0027,78.3797999999993
4094,利于,259,0.0027,78.3527999999993
4095,十万,259,0.0027,78.3635999999993
4096,无关,259,0.0027,78.3608999999993
4097,中部,259,0.0027,78.3581999999993
4098,点点头,259,0.0027,78.3662999999993
4099,社会关系,258,0.0027,78.4067999999994
4100,以免,258,0.0027,78.4040999999994
4101,总算,258,0.0027,78.4013999999994
4102,盐酸,258,0.0027,78.3986999999994
4103,棒,258,0.0027,78.3959999999994
4104,细致,258,0.0027,78.3824999999994
4105,陈毅,258,0.0027,78.3932999999994
4106,总数,258,0.0027,78.4094999999994
4107,系数,258,0.0027,78.3905999999994
4108,艘,258,0.0027,78.3878999999994
4109,大姐,258,0.0027,78.3851999999994
4110,邀请,257,0.0027,78.4364999999994
4111,乎,257,0.0027,78.4121999999994
4112,舆论,257,0.0027,78.4391999999994
4113,共和国,257,0.0027,78.4445999999995
4114,支付,257,0.0027,78.4337999999994
4115,最小,257,0.0027,78.4310999999994
4116,棉,257,0.0027,78.4418999999995
4117,审查,257,0.0027,78.4148999999994
4118,语言学,257,0.0027,78.4283999999994
4119,城乡,257,0.0027,78.4256999999994
4120,孙中山,257,0.0027,78.4229999999994
4121,天文,257,0.0027,78.4202999999994
4122,浮,257,0.0027,78.4175999999994
4123,他俩,256,0.0027,78.4715999999995
4124,垂,256,0.0027,78.4688999999995
4125,桌,256,0.0027,78.4661999999995
4126,动人,256,0.0027,78.4634999999995
4127,书籍,256,0.0027,78.4607999999995
4128,日本人,256,0.0027,78.4472999999995
4129,肩膀,256,0.0027,78.4580999999995
4130,店,256,0.0027,78.4742999999995
4131,置,256,0.0027,78.4553999999995
4132,不宜,256,0.0027,78.4526999999995
4133,耐,256,0.0027,78.4499999999995
4134,地震,255,0.0027,78.4985999999995
4135,有的人,255,0.0027,78.5093999999996
4136,知觉,255,0.0027,78.5066999999996
4137,私有制,255,0.0027,78.5039999999996
4138,井,255,0.0027,78.5012999999995
4139,浙江,255,0.0027,78.4958999999995
4140,显,255,0.0027,78.5147999999996
4141,汉字,255,0.0027,78.4796999999995
4142,高尚,255,0.0027,78.4931999999995
4143,融合,255,0.0027,78.4769999999995
4144,公布,255,0.0027,78.4904999999995
4145,肥料,255,0.0027,78.5120999999996
4146,丰收,255,0.0027,78.4877999999995
4147,丈,255,0.0027,78.4850999999995
4148,思,255,0.0027,78.4823999999995
4149,洋,254,0.0027,78.5525999999996
4150,肯,254,0.0027,78.5498999999996
4151,覆盖,254,0.0027,78.5471999999996
4152,伪,254,0.0027,78.5444999999996
4153,官员,254,0.0027,78.5417999999996
4154,培训,254,0.0027,78.5390999999996
4155,冷静,254,0.0027,78.5174999999996
4156,喜悦,254,0.0027,78.5363999999996
4157,水稻,254,0.0027,78.5552999999996
4158,公园,254,0.0027,78.5336999999996
4159,郭,254,0.0027,78.5309999999996
4160,诗歌,254,0.0027,78.5282999999996
4161,女孩子,254,0.0027,78.5255999999996
4162,宜,254,0.0027,78.5228999999996
4163,合乎,254,0.0027,78.5201999999996
4164,中期,253,0.0026,78.5786999999996
4165,本世纪,253,0.0026,78.5864999999996
4166,寸,253,0.0026,78.5838999999996
4167,纺织,253,0.0026,78.5812999999996
4168,动态,253,0.0026,78.5604999999996
4169,涂,253,0.0026,78.5760999999996
4170,想不到,253,0.0026,78.5890999999996
4171,斯大林,253,0.0026,78.5578999999996
4172,顺,253,0.0026,78.5734999999996
4173,互,253,0.0026,78.5708999999996
4174,耐心,253,0.0026,78.5682999999996
4175,固有,253,0.0026,78.5656999999996
4176,浪漫主义,253,0.0026,78.5630999999996
4177,兵力,252,0.0026,78.6280999999997
4178,肩上,252,0.0026,78.6202999999997
4179,名叫,252,0.0026,78.6176999999997
4180,杰出,252,0.0026,78.6150999999997
4181,产值,252,0.0026,78.6124999999997
4182,仓库,252,0.0026,78.6098999999997
4183,一齐,252,0.0026,78.6228999999997
4184,穿上,252,0.0026,78.6072999999997
4185,弦,252,0.0026,78.5916999999996
4186,西藏,252,0.0026,78.6046999999997
4187,封闭,252,0.0026,78.6254999999997
4188,气质,252,0.0026,78.6020999999997
4189,上层,252,0.0026,78.5994999999997
4190,福建,252,0.0026,78.5968999999997
4191,面孔,252,0.0026,78.5942999999996
4192,老汉,251,0.0026,78.6618999999997
4193,竹,251,0.0026,78.6566999999997
4194,降,251,0.0026,78.6670999999997
4195,税收,251,0.0026,78.6514999999997
4196,东南,251,0.0026,78.6696999999997
4197,原子核,251,0.0026,78.6592999999997
4198,干旱,251,0.0026,78.6722999999997
4199,鸟类,251,0.0026,78.6748999999997
4200,述,251,0.0026,78.6774999999997
4201,这点,251,0.0026,78.6800999999997
4202,建造,251,0.0026,78.6644999999997
4203,扣,251,0.0026,78.6488999999997
4204,电灯,251,0.0026,78.6332999999997
4205,舅舅,251,0.0026,78.6358999999997
4206,怀里,251,0.0026,78.6384999999997
4207,止,251,0.0026,78.6410999999997
4208,老鼠,251,0.0026,78.6436999999997
4209,金融,251,0.0026,78.6540999999997
4210,可不,251,0.0026,78.6462999999997
4211,爷,251,0.0026,78.6306999999997
4212,惊人,250,0.0026,78.7164999999997
4213,迎,250,0.0026,78.7294999999997
4214,越南,250,0.0026,78.7112999999997
4215,各族,250,0.0026,78.7138999999997
4216,毕业生,250,0.0026,78.7190999999997
4217,出售,250,0.0026,78.7216999999997
4218,致使,250,0.0026,78.7242999999997
4219,战术,250,0.0026,78.7268999999997
4220,奖励,250,0.0026,78.7060999999997
4221,儿女,250,0.0026,78.6826999999997
4222,伤心,250,0.0026,78.7008999999997
4223,庞大,250,0.0026,78.6982999999997
4224,影片,250,0.0026,78.6956999999997
4225,调查研究,250,0.0026,78.6930999999997
4226,一再,250,0.0026,78.7034999999997
4227,难过,250,0.0026,78.6904999999997
4228,一级,250,0.0026,78.7086999999997
4229,早上,250,0.0026,78.6878999999997
4230,依法,250,0.0026,78.6852999999997
4231,用以,249,0.0026,78.7554999999997
4232,人民法院,249,0.0026,78.7528999999997
4233,漫长,249,0.0026,78.7320999999997
4234,紫,249,0.0026,78.7502999999997
4235,输出,249,0.0026,78.7580999999997
4236,冲动,249,0.0026,78.7476999999997
4237,考虑到,249,0.0026,78.7346999999997
4238,在家,249,0.0026,78.7450999999997
4239,感性,249,0.0026,78.7424999999997
4240,伯伯,249,0.0026,78.7398999999997
4241,前来,249,0.0026,78.7372999999997
4242,袋,248,0.0026,78.7840999999997
4243,电视机,248,0.0026,78.7814999999997
4244,朱,248,0.0026,78.7788999999997
4245,衡量,248,0.0026,78.7736999999997
4246,货物,248,0.0026,78.7866999999997
4247,扔,248,0.0026,78.7606999999997
4248,死去,248,0.0026,78.7710999999997
4249,苹果,248,0.0026,78.7632999999997
4250,打倒,248,0.0026,78.7684999999997
4251,厨房,248,0.0026,78.7762999999997
4252,用途,248,0.0026,78.7658999999997
4253,证据,247,0.0026,78.8074999999997
4254,发觉,247,0.0026,78.8048999999997
4255,阶层,247,0.0026,78.8022999999997
4256,彩,247,0.0026,78.7996999999997
4257,官僚,247,0.0026,78.7892999999997
4258,雌,247,0.0026,78.7970999999997
4259,降水,247,0.0026,78.8100999999997
4260,党支部,247,0.0026,78.7944999999997
4261,胳膊,247,0.0026,78.7918999999997
4262,司令,246,0.0026,78.8126999999997
4263,总的,246,0.0026,78.8438999999997
4264,有的是,246,0.0026,78.8464999999998
4265,九月,246,0.0026,78.8412999999997
4266,帝国,246,0.0026,78.8386999999997
4267,简称,246,0.0026,78.8360999999997
4268,阶级性,246,0.0026,78.8334999999997
4269,大自然,246,0.0026,78.8308999999997
4270,小子,246,0.0026,78.8152999999997
4271,五百,246,0.0026,78.8282999999997
4272,草地,246,0.0026,78.8256999999997
4273,中共中央,246,0.0026,78.8230999999997
4274,迎接,246,0.0026,78.8178999999997
4275,灌,246,0.0026,78.8204999999997
4276,光合作用,245,0.0026,78.8620999999998
4277,劳力,245,0.0026,78.8594999999998
4278,实事求是,245,0.0026,78.8490999999998
4279,播种,245,0.0026,78.8672999999998
4280,少女,245,0.0026,78.8646999999998
4281,机械化,245,0.0026,78.8542999999998
4282,顾,245,0.0026,78.8516999999998
4283,答案,245,0.0026,78.8568999999998
4284,谁知,244,0.0026,78.9010999999998
4285,沟通,244,0.0026,78.8984999999998
4286,己,244,0.0026,78.8958999999998
4287,纵,244,0.0026,78.8932999999998
4288,款,244,0.0026,78.8906999999998
4289,走来,244,0.0026,78.8880999999998
4290,伙伴,244,0.0026,78.8854999999998
4291,谈判,244,0.0026,78.8698999999998
4292,大臣,244,0.0026,78.8828999999998
4293,惊,244,0.0026,78.9036999999998
4294,几百,244,0.0026,78.8802999999998
4295,影,244,0.0026,78.8776999999998
4296,树林,244,0.0026,78.8750999999998
4297,流域,244,0.0026,78.8724999999998
4298,安装,243,0.0025,78.9311999999997
4299,补偿,243,0.0025,78.9286999999998
4300,加深,243,0.0025,78.9261999999998
4301,嚷,243,0.0025,78.9236999999998
4302,缩,243,0.0025,78.9211999999998
4303,寒冷,243,0.0025,78.9336999999997
4304,瞅,243,0.0025,78.9086999999998
4305,刑法,243,0.0025,78.9186999999998
4306,奖金,243,0.0025,78.9161999999998
4307,七月,243,0.0025,78.9136999999998
4308,凉,243,0.0025,78.9061999999998
4309,人为,243,0.0025,78.9111999999998
4310,功率,242,0.0025,78.9511999999997
4311,便宜,242,0.0025,78.9911999999997
4312,山地,242,0.0025,78.9711999999997
4313,预报,242,0.0025,78.9661999999997
4314,聚集,242,0.0025,78.9761999999997
4315,适于,242,0.0025,78.9786999999997
4316,袭击,242,0.0025,78.9811999999997
4317,图形,242,0.0025,78.9836999999997
4318,地主阶级,242,0.0025,78.9861999999997
4319,深化,242,0.0025,78.9886999999997
4320,快速,242,0.0025,78.9561999999997
4321,尊,242,0.0025,78.9736999999997
4322,民主革命,242,0.0025,78.9686999999997
4323,限于,242,0.0025,78.9386999999997
4324,税,242,0.0025,78.9411999999997
4325,注,242,0.0025,78.9436999999997
4326,时常,242,0.0025,78.9461999999997
4327,初级,242,0.0025,78.9486999999997
4328,自行,242,0.0025,78.9636999999997
4329,创办,242,0.0025,78.9536999999997
4330,军官,242,0.0025,78.9361999999997
4331,家族,242,0.0025,78.9586999999997
4332,起伏,242,0.0025,78.9611999999997
4333,小型,241,0.0025,79.0136999999997
4334,考验,241,0.0025,79.0111999999997
4335,惊讶,241,0.0025,79.0086999999997
4336,全局,241,0.0025,79.0061999999997
4337,修理,241,0.0025,79.0161999999997
4338,写信,241,0.0025,78.9936999999997
4339,雷锋,241,0.0025,79.0036999999997
4340,泪水,241,0.0025,78.9961999999997
4341,所有权,241,0.0025,78.9986999999997
4342,河南,241,0.0025,79.0186999999997
4343,冯,241,0.0025,79.0011999999997
4344,压强,240,0.0025,79.0461999999996
4345,中华民族,240,0.0025,79.0436999999996
4346,埃及,240,0.0025,79.0411999999996
4347,矿,240,0.0025,79.0386999999997
4348,法令,240,0.0025,79.0361999999997
4349,失业,240,0.0025,79.0211999999997
4350,墙壁,240,0.0025,79.0336999999997
4351,容量,240,0.0025,79.0486999999996
4352,秋天,240,0.0025,79.0311999999997
4353,彩色,240,0.0025,79.0286999999997
4354,寻求,240,0.0025,79.0261999999997
