// 现代汉语语料库词语分词类频率表,,,,,,
// 语料规模:2000万字,,,,,,
// 只列入出现次数大于50次的词,,,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,,,
// id,词语,词类标记,词类名称,出现次数,频率,累积频率
1,的,u,助词,744863,7.7946,7.7946
2,了,u,助词,129617,1.3564,9.151
3,是,vl,联系动词,118382,1.2388,10.3898
4,在,p,介词,115425,1.2079,11.5977
5,和,c,连词,79845,0.8355,12.4332
6,一,m,数词,78590,0.8224,13.2556
7,这,r,代词,65143,0.6817,13.937299999999999
8,有,v,动词,53522,0.5601,14.497399999999999
9,他,r,代词,52908,0.5537,15.051099999999998
10,我,r,代词,52724,0.5517,15.602799999999998
11,也,d,副词,47034,0.4922,16.095
12,不,d,副词,46950,0.4913,16.586299999999998
13,就,d,副词,44145,0.462,17.048299999999998
14,着,u,助词,40596,0.4248,17.4731
15,中,nd,方位名词,40105,0.4197,17.892799999999998
16,地,u,助词,39440,0.4127,18.3055
17,说,v,动词,35047,0.3667,18.6722
18,上,nd,方位名词,34850,0.3647,19.0369
19,都,d,副词,34261,0.3585,19.3954
20,人,n,名词,33915,0.3549,19.7503
21,个,q,量词,31445,0.3291,20.0794
22,把,p,介词,28786,0.3012,20.3806
23,你,r,代词,28769,0.3011,20.681700000000003
24,种,q,量词,28587,0.2991,20.980800000000002
25,对,p,介词,28397,0.2972,21.575200000000002
26,而,c,连词,28397,0.2972,21.278000000000002
27,要,vu,能愿动词,27324,0.2859,21.861100000000004
28,我们,r,代词,26821,0.2807,22.141800000000003
29,又,d,副词,25682,0.2687,22.410500000000003
30,来,vd,趋向动词,25410,0.2659,22.6764
31,一个,mq,数量,24497,0.2563,22.9327
32,从,p,介词,23619,0.2472,23.1799
33,年,nt,时间名词,21818,0.2283,23.4082
34,到,v,动词,21665,0.2267,23.634900000000002
35,与,c,连词,21385,0.2238,23.858700000000002
36,它,r,代词,21038,0.2202,24.0789
37,还,d,副词,20735,0.217,24.2959
38,大,a,形容词,20050,0.2098,24.5057
39,她,r,代词,19914,0.2084,24.714100000000002
40,两,m,数词,19340,0.2024,24.916500000000003
41,时,nt,时间名词,17995,0.1883,25.104800000000004
42,他们,r,代词,17783,0.1861,25.290900000000004
43,里,nd,方位名词,17774,0.186,25.476900000000004
