#现代汉语语料库汉字频率表,,,,
#语料规模:2000万字,,,,
#只列入出现次数大于5次的字,,,,
#下载自www.cncorpus.org语料库在线网站,,,,
,,,,
,,,,
id,汉字,出现次数,频率（%）,累积频率（%）
158,向,21480,0.1381,51.28089999999997
159,机,21183,0.1362,51.41709999999997
160,她,21183,0.1362,51.55329999999997
161,内,21104,0.1357,51.68899999999997
162,此,21040,0.1353,51.82429999999997
163,老,20822,0.1339,51.95819999999997
164,变,20368,0.131,52.08919999999997
165,原,20335,0.1308,52.21999999999997
166,结,19853,0.1277,52.34769999999997
167,问,19390,0.1247,52.472399999999965
168,手,19325,0.1243,52.59669999999996
169,日,19295,0.1241,52.72079999999996
170,利,19280,0.124,52.844799999999964
171,质,19186,0.1234,52.96819999999996
172,已,19102,0.1228,53.09099999999996
173,最,19092,0.1228,53.21379999999996
174,政,19085,0.1227,53.33649999999996
175,儿,18769,0.1207,53.45719999999996
176,见,18754,0.1206,53.57779999999996
177,并,18720,0.1204,53.69819999999996
178,平,18695,0.1202,53.818399999999954
179,资,18646,0.1199,53.938299999999956
180,比,18628,0.1198,54.05809999999995
181,特,18600,0.1196,54.17769999999995
182,果,18573,0.1194,54.29709999999995
183,什,18335,0.1179,54.41499999999995
184,建,18330,0.1179,54.53289999999995
185,反,18308,0.1177,54.65059999999995
186,常,18225,0.1172,54.767799999999944
187,知,18188,0.117,54.88479999999994
188,第,18101,0.1164,55.00119999999994
189,电,18077,0.1163,55.11749999999994
190,思,17947,0.1154,55.232899999999944
191,立,17846,0.1148,55.347699999999946
192,提,17783,0.1144,55.46209999999995
193,或,17650,0.1135,55.57559999999995
194,通,17613,0.1133,55.688899999999954
195,解,17501,0.1126,55.801499999999955
196,身,17302,0.1113,55.912799999999955
197,四,17259,0.111,56.02379999999995
198,品,17122,0.1101,56.133899999999954
199,几,17072,0.1098,56.243699999999954
200,位,17071,0.1098,56.353499999999954
201,别,17060,0.1097,56.46319999999995
202,论,16822,0.1082,56.57139999999995
203,公,16789,0.108,56.679399999999944
204,给,16738,0.1076,56.78699999999994
205,少,16385,0.1054,56.892399999999945
206,条,16307,0.1049,56.997299999999946
207,观,16133,0.1038,57.101099999999946
208,回,16122,0.1037,57.20479999999995
209,海,16022,0.103,57.30779999999995
210,基,15916,0.1024,57.41019999999995
211,次,15871,0.1021,57.512299999999954
212,被,15573,0.1002,57.612499999999955
213,山,15554,0.1,57.712499999999956
214,才,15485,0.0996,57.81209999999996
215,己,15444,0.0993,57.91139999999996
216,期,15373,0.0989,58.01029999999996
217,西,15352,0.0987,58.10899999999996
218,术,15296,0.0984,58.20739999999996
219,济,15268,0.0982,58.305599999999956
220,认,15238,0.098,58.403599999999955
221,先,15198,0.0977,58.50129999999996
222,命,15130,0.0973,58.598599999999955
223,走,14963,0.0962,58.69479999999996
224,真,14943,0.0961,58.79089999999996
225,员,14901,0.0958,58.886699999999955
226,及,14897,0.0958,58.98249999999995
227,数,14890,0.0958,59.07829999999995
228,话,14887,0.0957,59.17399999999995
229,门,14813,0.0953,59.26929999999995
230,级,14752,0.0949,59.364199999999954
231,军,14740,0.0948,59.45899999999995
232,统,14654,0.0942,59.553199999999954
233,光,14642,0.0942,59.647399999999955
234,声,14566,0.0937,59.74109999999995
235,题,14565,0.0937,59.83479999999995
236,入,14520,0.0934,59.928199999999954
237,美,14489,0.0932,60.02139999999996
238,口,14338,0.0922,60.113599999999956
239,感,14318,0.0921,60.20569999999996
240,战,14290,0.0919,60.29759999999996
